species,latitude,longitude
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
Vulpes.lagopus,63.77884383,-171.743717
